id,category_id,name,short_name,definition_text,score_direction,sort_order
defe,A,방어성,방어성,검사 문항에 얼마나 솔직하고 성실하게 응답했는지를 나타낸다.,high_risk,1
clim,B,조직풍토,조직풍토,소속 기관의 분위기가 얼마나 개방적이며 기관장이 업무 이해에 도움을 준다고 생각하는지를 나타낸다.,high_positive,2
auto,B,직무자율성,직무자율성,어린이집에서 일을 하는 데 있어 어느 정도의 자율성을 발휘할 수 있다고 생각하는지를 나타낸다.,high_positive,3
stre,B,직무스트레스,직무스트레스,업무 과정에서 불쾌한 정서를 경험하게 하는 원인과 그로 인한 고충 정도를 나타낸다.,high_risk,4
turn,B,이직의도,이직의도,업무와 개인 생활 간 균형 및 현재 근무 기관을 그만둘 의사가 있는지를 나타낸다.,high_risk,5
burn,B,직무소진,직무소진,어린이집 일이나 환경으로 인해 심리적·신체적 불편감과 정서적 고갈을 얼마나 경험하는지를 나타낸다.,high_risk,6
cons,C,성실성,성실성,자신에게 맡겨진 일을 얼마나 책임감 있게 하는 경향이 있는지를 나타낸다.,high_positive,7
agre,C,친화성,친화성,대인관계 장면에서 얼마나 우호적이고 사교적인 경향이 있는지를 나타낸다.,high_positive,8
opti,C,낙관성,낙관성,자신이 경험하는 일과 앞으로의 일을 얼마나 긍정적이고 낙관적으로 받아들이는지를 나타낸다.,high_positive,9
para,C,편집성,편집성,대인관계 상황을 임의대로 이해하거나 해석하는 경향을 나타낸다.,high_risk,10
avoi,C,회피성,회피성,스트레스가 되는 대인관계 상황을 직면하기보다 피하거나 외면하려는 경향을 나타낸다.,high_risk,11
aggr,C,공격성,공격성,대인관계 상황에서 의견이 맞지 않을 때 비우호적으로 행동하기 쉬운 경향을 나타낸다.,high_risk,12
stab,D,심리적 안녕감,심리적안녕감,자신의 생활을 얼마나 긍정적으로 지각하고 행복감과 만족감을 느끼는지를 나타낸다.,high_positive,13
anxi,D,불안과 우울,불안/우울,최근 일상에서 얼마나 불안하고 우울하다고 느끼는지를 나타낸다.,high_risk,14
soma,D,신체화,신체화,심리적·정신적 스트레스 등 정서적 어려움을 신체 증상으로 얼마나 표현하는지를 나타낸다.,high_risk,15
adhd,E,주의집중 문제,주의집중문제,업무와 일상 생활에서 주의력과 기억력을 유지하고 부주의한 실수를 하지 않는 정도를 나타낸다.,high_risk,16
exec,E,실행기능,실행기능,목표 달성을 위해 계획을 세우고 기분과 시간을 조절하며 계획을 실행해나가는 능력을 나타낸다.,high_positive,17
flex,F,인지적 유연성,인지적유연성,문제 상황에서 다양한 대안을 찾아 효율적으로 해결할 수 있는 정도를 나타낸다.,high_positive,18
mana,F,대처능력,대처능력,심리건강을 위협하는 다양한 스트레스를 적절히 줄이고 다룰 방안을 갖추고 있는지를 나타낸다.,high_positive,19
